,gene_id,gene_name,gene_ontology
67,slr5078,slr5078,inward rectifier potassium channel activity
68,slr5078,slr5078,plasma membrane
69,slr5078,slr5078,potassium ion import across plasma membrane
70,slr5078,slr5078,regulation of monoatomic ion transmembrane transport
71,sll5086,sll5086,transaminase activity
72,sll5086,sll5086,alpha-amino acid metabolic process
73,slr5093,slr5093,oxidoreductase activity
75,slr5105,slr5105,cytosol
76,slr5105,slr5105,ATP binding
77,slr5105,slr5105,ATP hydrolysis activity
78,slr5105,slr5105,cytoplasmic side of plasma membrane
79,slr5105,slr5105,negative regulation of cell division
80,sll5107,sll5107,cytidine deaminase activity
81,sll5107,sll5107,zinc ion binding
82,sll5107,sll5107,cytosol
83,sll5107,sll5107,cytidine deamination
87,sll5122,sll5122,DNA-directed DNA polymerase activity
88,sll5122,sll5122,SOS response
89,sll5122,sll5122,error-prone translesion synthesis
93,slr7041,slr7041,mRNA catabolic process
94,slr7041,slr7041,rRNA catabolic process
95,slr7041,slr7041,RNA endonuclease activity
96,sll7044,sll7044,negative regulation of cell division
97,sll7044,sll7044,cytosol
98,sll7044,sll7044,cytoplasmic side of plasma membrane
99,sll7044,sll7044,ATP hydrolysis activity
100,sll7044,sll7044,ATP binding
101,slr7049,slr7049,DNA recombination
102,slr7049,slr7049,DNA strand exchange activity
103,sll7077,sll7077,"guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity"
104,sll7106,sll7106,exodeoxyribonuclease V activity
105,sll7106,sll7106,DNA recombination
106,sll7106,sll7106,single-stranded DNA helicase activity
107,sll7106,sll7106,exodeoxyribonuclease V complex
108,sll8001,sll8001,peptidyl-glutamate ADP-deribosylation
109,slr8015,slr8015,cytosol
110,slr8015,slr8015,negative regulation of cell division
111,slr8015,slr8015,cytoplasmic side of plasma membrane
112,slr8015,slr8015,ATP hydrolysis activity
113,slr8015,slr8015,ATP binding
114,slr8016,slr8016,chromosome
115,slr8016,slr8016,chromosome segregation
116,slr8016,slr8016,positive regulation of sporulation resulting in formation of a cellular spore
117,slr8026,slr8026,response to stress
118,slr8026,slr8026,regulation of DNA-templated transcription
119,slr8029,slr8029,DNA recombination
120,slr8029,slr8029,DNA strand exchange activity
122,slr6034,slr6034,cytosol
123,slr6034,slr6034,cytidine deamination
124,slr6034,slr6034,cytidine deaminase activity
125,slr6034,slr6034,zinc ion binding
126,sll6036,sll6036,negative regulation of cell division
127,sll6036,sll6036,ATP hydrolysis activity
128,sll6036,sll6036,cytoplasmic side of plasma membrane
129,sll6036,sll6036,cytosol
130,sll6036,sll6036,ATP binding
132,slr6040,slr6040,regulation of DNA-templated transcription
133,slr6040,slr6040,protein-DNA complex
134,slr6040,slr6040,transcription cis-regulatory region binding
135,slr6040,slr6040,phosphorelay response regulator activity
136,slr6040,slr6040,cytosol
137,sll6053,sll6053,cytosol
138,sll6053,sll6053,thiosulfate sulfurtransferase activity
139,sll6053,sll6053,cytoplasm
140,sll6053,sll6053,nucleotidyltransferase activity
141,sll6053,sll6053,sulfotransferase activity
142,sll6060,sll6060,"acyltransferase activity, transferring groups other than amino-acyl groups"
143,slr6012,slr6012,sulfate transport
144,sll6093,sll6093,negative regulation of cell division
145,sll6093,sll6093,ATP binding
146,sll6093,sll6093,cytosol
147,sll6093,sll6093,ATP hydrolysis activity
148,sll6093,sll6093,cytoplasmic side of plasma membrane
149,slr2023,fabD,cytosol
150,slr2023,fabD,fatty acid biosynthetic process
151,slr2023,fabD,[acyl-carrier-protein] S-malonyltransferase activity
152,slr1138,ctaE,cytochrome-c oxidase activity
153,slr1138,ctaE,aerobic respiration
156,slr1137,ctaD,cytochrome-c oxidase activity
157,slr1137,ctaD,electron transport coupled proton transport
158,slr1137,ctaD,respiratory electron transport chain
159,slr1137,ctaD,aerobic respiration
160,sll0837,sll0837,outer membrane-bounded periplasmic space
162,slr1736,slr1736,vitamin E biosynthetic process
163,sll1626,lexA,negative regulation of DNA-templated transcription
164,sll1626,lexA,positive regulation of DNA-templated transcription
165,sll1626,lexA,protein-DNA complex
166,sll1626,lexA,sequence-specific DNA binding
167,sll1626,lexA,protein-DNA complex
168,sll1626,lexA,sequence-specific DNA binding
169,sll1626,lexA,positive regulation of DNA-templated transcription
170,sll1626,lexA,negative regulation of DNA-templated transcription
171,slr2144,slr2144,outer membrane-bounded periplasmic space
173,slr2136,ispG,"4 iron, 4 sulfur cluster binding"
174,sll1762,sll1762,outer membrane-bounded periplasmic space
175,sll1784,sll1784,outer membrane-bounded periplasmic space
176,slr1485,slr1485,outer membrane-bounded periplasmic space
177,slr1417,slr1417,iron ion binding
178,slr1417,slr1417,identical protein binding
179,slr1417,slr1417,"2 iron, 2 sulfur cluster binding"
182,sll1185,hemF,coproporphyrinogen oxidase activity
183,sll1185,hemF,protoporphyrinogen IX biosynthetic process
184,sll1185,hemF,protein homodimerization activity
189,ssl2598,psbH,plasma membrane-derived thylakoid photosystem II
190,sll0258,psbV,plasma membrane-derived thylakoid photosystem II
193,sll1499,gltB,protein binding
194,sll1098,fusA,protein binding
195,sll1098,fusA,protein binding
196,slr0963,sir,protein binding
197,slr0963,sir,protein binding
199,slr0906,psbB,plasma membrane-derived thylakoid photosystem II
200,slr0906,psbB,plasma membrane-derived thylakoid photosystem II
205,slr1772,slr1772,outer membrane-bounded periplasmic space
221,slr1098,slr1098,protein binding
222,slr1098,slr1098,protein binding
223,slr1098,slr1098,protein binding
224,slr1098,slr1098,iron-sulfur cluster assembly
229,slr0623,trxA,protein binding
230,slr0623,trxA,protein binding
231,slr0623,trxA,protein binding
232,slr0623,trxA,protein binding
233,slr0623,trxA,protein binding
234,slr0623,trxA,protein binding
235,slr0623,trxA,protein binding
236,slr0623,trxA,protein binding
237,slr0623,trxA,protein binding
238,slr0623,trxA,protein binding
239,slr0623,trxA,protein binding
240,slr0623,trxA,protein binding
241,slr0623,trxA,protein binding
242,slr0623,trxA,protein binding
243,slr0623,trxA,protein binding
244,slr0623,trxA,protein binding
245,slr0623,trxA,protein binding
246,slr0623,trxA,protein binding
247,slr0623,trxA,protein binding
248,slr0623,trxA,protein binding
249,slr0623,trxA,protein binding
250,slr0623,trxA,protein binding
251,slr0623,trxA,protein binding
252,slr0623,trxA,protein binding
253,slr0623,trxA,protein binding
254,slr0623,trxA,protein binding
255,slr0623,trxA,protein binding
256,slr0623,trxA,protein binding
257,slr0623,trxA,protein binding
258,slr0623,trxA,protein binding
259,slr0623,trxA,protein binding
260,sll0227,sll0227,outer membrane-bounded periplasmic space
262,sll1633,ftsZ,identical protein binding
263,sll1633,ftsZ,protein binding
264,sll1633,ftsZ,protein polymerization
265,sll1633,ftsZ,cytokinetic process
266,sll1633,ftsZ,protein binding
268,sll1130,sll1130,plasma membrane-derived thylakoid photosystem II
269,slr0741,phoU,negative regulation of phosphate transmembrane transport
270,slr0741,phoU,cytoplasm
271,slr0741,phoU,negative regulation of phosphate metabolic process
272,slr0741,phoU,protein homodimerization activity
273,slr1196,slr1196,outer membrane-bounded periplasmic space
274,slr1829,phaE,poly-hydroxybutyrate biosynthetic process
275,slr1329,atpD,plasma membrane proton-transporting ATP synthase complex
276,sll1395,rfbD,protein binding
277,sll1395,rfbD,protein binding
280,slr1409,slr1409,outer membrane-bounded periplasmic space
283,sll1835,sll1835,outer membrane-bounded periplasmic space
288,ssl1911,ssl1911,molecular adaptor activity
289,ssl1911,ssl1911,molecular adaptor activity
290,ssl1911,ssl1911,negative regulation of glutamate-ammonia ligase activity
291,ssl1911,ssl1911,enzyme binding
292,ssl1911,ssl1911,enzyme binding
293,ssl1911,ssl1911,enzyme binding
299,sll1917,hemW,"4 iron, 4 sulfur cluster binding"
300,sll1917,hemW,porphyrin-containing compound biosynthetic process
301,sll1917,hemW,cytoplasm
303,sll1507,sll1507,outer membrane-bounded periplasmic space
304,sll1515,sll1515,negative regulation of glutamate-ammonia ligase activity
305,sll1515,sll1515,negative regulation of glutamate-ammonia ligase activity
306,sll1515,sll1515,enzyme binding
307,sll1515,sll1515,enzyme binding
308,sll0638,sll0638,outer membrane-bounded periplasmic space
309,sll1939,sll1939,protein binding
310,sll1837,sll1837,outer membrane-bounded periplasmic space
311,slr1608,slr1608,outer membrane-bounded periplasmic space
320,sll0662,sll0662,protein binding
321,slr0708,slr0708,outer membrane-bounded periplasmic space
322,slr0787,slr0787,identical protein binding
323,sll0288,minC,contractile ring localization
324,sll0289,minD,membrane
325,sll0289,minD,contractile ring localization
327,slr1835,psaB,plasma membrane-derived photosystem I
328,slr1834,psaA,plasma membrane-derived photosystem I
329,slr0115,rpaA,circadian regulation of translation
330,slr0115,rpaA,circadian rhythm
348,slr0204,slr0204,acyl-CoA hydrolase activity
349,slr0204,slr0204,palmitoyl-CoA hydrolase activity
350,slr0204,slr0204,succinyl-CoA hydrolase activity
351,slr0204,slr0204,phylloquinone biosynthetic process
353,slr0642,slr0642,folic acid transmembrane transporter activity
354,slr0642,slr0642,5-formyltetrahydrofolate transmembrane transporter activity
355,slr0642,slr0642,methotrexate transmembrane transporter activity
356,slr0642,slr0642,methotrexate transport
357,slr0642,slr0642,folic acid transport
358,slr0642,slr0642,5-formyltetrahydrofolate transport
359,slr0642,slr0642,5-formyltetrahydrofolate transmembrane transporter activity
360,slr0642,slr0642,5-formyltetrahydrofolate transport
361,slr0228,ftsH2,thylakoid membrane
362,slr0228,ftsH2,photosystem II
363,slr0228,ftsH2,thylakoid membrane
364,slr0228,ftsH2,plasma membrane
365,slr0228,ftsH2,photosystem II repair
373,sll1578,cpcA,phycobilisome
376,sll1306,sll1306,outer membrane-bounded periplasmic space
377,sll1307,sll1307,outer membrane-bounded periplasmic space
378,slr1410,slr1410,outer membrane-bounded periplasmic space
379,slr1406,slr1406,outer membrane-bounded periplasmic space
380,ssl2501,phaP,polyhydroxyalkanoate granule
381,sll1358,sll1358,outer membrane-bounded periplasmic space
385,sll1785,sll1785,outer membrane-bounded periplasmic space
386,slr0585,argG,protein binding
387,slr0585,argG,protein binding
388,slr1756,glnA,protein binding
389,slr1756,glnA,protein binding
390,slr1756,glnA,protein binding
391,slr1756,glnA,protein binding
392,slr1756,glnA,protein binding
393,slr1756,glnA,protein binding
394,slr0343,petD,cytochrome b6f complex
396,sll0418,sll0418,"2-methyl-6-phytyl-1,4-benzoquinone methyltransferase activity"
397,slr1645,psb27,photosystem II repair
398,slr1645,psb27,photosystem II assembly
399,slr1645,psb27,plasma membrane-derived thylakoid photosystem II
400,slr0945,arsH,NAD(P)H dehydrogenase (quinone) activity
401,slr0945,arsH,NADPH dehydrogenase (quinone) activity
402,slr0945,arsH,protein homotetramerization
403,slr0945,arsH,ferric-chelate reductase (NADPH) activity
404,slr0945,arsH,response to metal ion
405,slr0945,arsH,FMN binding
406,slr0942,slr0942,aldo-keto reductase (NADP) activity
407,slr0942,slr0942,aldo-keto reductase (NADP) activity
408,slr0942,slr0942,NADPH binding
410,slr1694,slr1694,identical protein binding
411,slr1694,slr1694,identical protein binding
412,slr1694,slr1694,identical protein binding
413,slr1694,slr1694,identical protein binding
414,slr1694,slr1694,protein binding
415,slr1694,slr1694,protein binding
416,slr1694,slr1694,protein binding
417,slr1693,slr1693,protein binding
418,slr1693,slr1693,protein binding
419,slr1693,slr1693,protein binding
423,slr1672,glpK,glycerol kinase activity
424,slr1672,glpK,glycerol metabolic process
425,slr1160,slr1160,outer membrane-bounded periplasmic space
426,sll1099,tuf,protein binding
427,sll1099,tuf,protein binding
428,sll1099,tuf,protein binding
441,slr1270,slr1270,identical protein binding
442,slr1270,slr1270,outer membrane-bounded periplasmic space
443,sll1371,sll1371,positive regulation of DNA-templated transcription
444,sll1371,sll1371,positive regulation of DNA-templated transcription
446,sll1377,sll1377,magnesium ion binding
447,sll1377,sll1377,hexosyltransferase activity
448,sll1377,sll1377,membrane lipid biosynthetic process
449,sll1378,sll1378,outer membrane-bounded periplasmic space
450,sll1380,sll1380,outer membrane-bounded periplasmic space
451,sll1390,sll1390,plasma membrane-derived thylakoid photosystem II
452,sll1876,hemN,protoporphyrinogen IX biosynthetic process
453,sll1876,hemN,"4 iron, 4 sulfur cluster binding"
454,sll1876,hemN,coproporphyrinogen dehydrogenase activity
455,sll1876,hemN,porphyrin-containing compound biosynthetic process
456,sll1876,hemN,cytoplasm
458,slr1963,slr1963,protein binding
459,sll1194,psbU,plasma membrane-derived thylakoid photosystem II
480,sll0851,psbC,plasma membrane-derived thylakoid photosystem II
481,sll0851,psbC,plasma membrane-derived thylakoid photosystem II
482,slr0927,psbD,plasma membrane-derived thylakoid photosystem II
483,slr0927,psbD,plasma membrane-derived thylakoid photosystem II
484,smr0006,psbF,identical protein binding
485,smr0006,psbF,identical protein binding
486,smr0006,psbF,plasma membrane-derived thylakoid photosystem II
487,ssr3451,psbE,plasma membrane-derived thylakoid photosystem II
488,sll1252,sll1252,plasma membrane-derived thylakoid photosystem II
495,sll1325,atpH,plasma membrane proton-transporting ATP synthase complex
496,sll1326,atpA,plasma membrane proton-transporting ATP synthase complex
497,sll0064,sll0064,outer membrane-bounded periplasmic space
498,sll0314,sll0314,outer membrane-bounded periplasmic space
503,sll0169,sll0169,protein binding
504,sll0169,sll0169,protein binding
505,sll0169,sll0169,protein binding
506,sll0169,sll0169,protein binding
507,sll0169,sll0169,protein binding
508,sll0169,sll0169,protein binding
509,sll0169,sll0169,protein binding
510,sll0169,sll0169,protein binding
511,sll0169,sll0169,cell septum
512,sll0169,sll0169,septin ring assembly
513,sll0169,sll0169,protein binding
514,sll0172,sll0172,outer membrane-bounded periplasmic space
515,sll0173,sll0173,outer membrane-bounded periplasmic space
518,slr0653,rpoD,protein binding
520,slr0848,slr0848,protein binding
521,sll0822,sll0822,transcription cis-regulatory region binding
522,sll0822,sll0822,protein-DNA complex
523,sll0822,sll0822,DNA-binding transcription repressor activity
524,sll0822,sll0822,negative regulation of DNA-templated transcription
525,sll0822,sll0822,protein binding
526,sll0822,sll0822,protein binding
527,slr0841,slr0841,outer membrane-bounded periplasmic space
564,slr0924,slr0924,outer membrane-bounded periplasmic space
565,slr1739,psb28,plasma membrane-derived thylakoid photosystem II
568,slr1668,slr1668,outer membrane-bounded periplasmic space
581,sll1483,sll1483,outer membrane-bounded periplasmic space
582,sll1491,sll1491,outer membrane-bounded periplasmic space
583,slr1565,slr1565,protein binding
584,slr1565,slr1565,protein binding
585,slr1565,slr1565,protein binding
586,slr1565,slr1565,iron-sulfur cluster assembly
587,slr1565,slr1565,"2 iron, 2 sulfur cluster binding"
588,slr0665,acnB,mRNA binding
589,slr0665,acnB,mRNA 3'-UTR binding
590,slr0665,acnB,aconitate hydratase activity
591,slr0665,acnB,"propionate catabolic process, 2-methylcitrate cycle"
592,slr0665,acnB,tricarboxylic acid cycle
593,slr0665,acnB,2-methylisocitrate dehydratase activity
594,slr0665,acnB,"4 iron, 4 sulfur cluster binding"
595,ssl2667,ssl2667,iron-sulfur cluster assembly
596,ssl2667,ssl2667,"2 iron, 2 sulfur cluster binding"
597,slr1950,slr1950,protein binding
598,slr1950,slr1950,protein binding
599,slr1950,slr1950,copper ion import
600,slr1940,slr1940,outer membrane-bounded periplasmic space
601,sll1848,sll1848,lysophosphatidic acid acyltransferase activity
602,slr1924,slr1924,outer membrane-bounded periplasmic space
603,sll0359,sll0359,protein binding
604,sll0359,sll0359,protein binding
605,slr0710,gdhA,glutamate dehydrogenase (NADP+) activity
606,slr0710,gdhA,cytoplasm
607,slr0710,gdhA,glutamate biosynthetic process
608,sll0319,sll0319,outer membrane-bounded periplasmic space
614,sll1089,sll1089,outer membrane-bounded periplasmic space
615,sll1632,sll1632,protein binding
616,sll1632,sll1632,protein binding
617,sll1632,sll1632,protein binding
618,sll1632,sll1632,protein binding
619,sll1621,sll1621,identical protein binding
620,sll1621,sll1621,identical protein binding
621,sll1621,sll1621,protein binding
622,sll1621,sll1621,protein binding
623,sll1621,sll1621,protein binding
624,sll1621,sll1621,protein binding
625,sll1621,sll1621,protein binding
626,sll1621,sll1621,protein binding
627,sll1621,sll1621,protein binding
628,sll1621,sll1621,protein binding
630,sll1532,sll1532,outer membrane-bounded periplasmic space
631,slr2004,slr2004,outer membrane-bounded periplasmic space
632,slr1944,slr1944,outer membrane-bounded periplasmic space
633,sll0726,pgm,protein binding
634,sll0726,pgm,protein binding
635,sll1549,sll1549,outer membrane-bounded periplasmic space
637,slr1139,slr1139,protein binding
638,slr1139,slr1139,protein binding
639,slr1139,slr1139,protein binding
640,slr1139,slr1139,protein binding
641,slr1139,slr1139,protein binding
642,slr1330,atpC,plasma membrane proton-transporting ATP synthase complex
646,slr1198,slr1198,identical protein binding
647,slr1198,slr1198,identical protein binding
648,slr1198,slr1198,protein binding
649,slr1198,slr1198,protein binding
650,slr1198,slr1198,protein binding
651,slr1198,slr1198,protein binding
652,slr1198,slr1198,protein binding
653,slr1198,slr1198,protein binding
654,slr1198,slr1198,protein binding
655,sll1804,rpsC,protein binding
656,sll1804,rpsC,protein binding
657,sll1804,rpsC,protein binding
658,slr2005,slr2005,outer membrane-bounded periplasmic space
659,ssr2857,ssr2857,protein binding
660,ssr2857,ssr2857,protein binding
661,ssr2857,ssr2857,protein binding
662,ssr2857,ssr2857,protein binding
663,ssr2857,ssr2857,protein binding
664,ssr2857,ssr2857,copper ion binding
665,sll0985,sll0985,protein binding
666,sll0985,sll0985,protein binding
667,sll0985,sll0985,regulation of nitrogen compound metabolic process
672,slr2060,slr2060,acyltransferase activity
673,sll1317,petA,cytochrome b6f complex
677,slr2048,slr2048,outer membrane-bounded periplasmic space
681,slr1051,fabI,enoyl-[acyl-carrier-protein] reductase (NADH) activity
682,slr1051,fabI,fatty acid elongation
683,slr1051,fabI,identical protein binding
684,ssl3335,secE,protein transmembrane transporter activity
685,ssl3335,secE,protein transport by the Sec complex
686,slr0343,petD,ubiquinol-cytochrome-c reductase activity
687,sll1325,atpH,proton motive force-driven ATP synthesis
688,sll1325,atpH,"proton-transporting ATP synthase complex, catalytic core F(1)"
689,sll1325,atpH,"proton-transporting ATP synthase activity, rotational mechanism"
691,slr1843,zwf,cytosol
692,slr1843,zwf,glucose-6-phosphate dehydrogenase activity
693,slr1843,zwf,glucose metabolic process
694,slr1843,zwf,"pentose-phosphate shunt, oxidative branch"
704,sll1144,rsmH,rRNA (cytosine-N4-)-methyltransferase activity
705,sll1144,rsmH,cytoplasm
706,sll1144,rsmH,rRNA base methylation
708,slr1234,slr1234,cytoplasm
709,slr1234,slr1234,hydrolase activity
711,sll1647,sll1647,"acyltransferase activity, transferring groups other than amino-acyl groups"
712,slr2047,slr2047,ATP binding
713,slr2047,slr2047,cytosol
714,sll1300,trmB,tRNA methyltransferase complex
715,sll1300,trmB,tRNA methylation
716,sll1300,trmB,RNA (guanine-N7)-methylation
717,sll1300,trmB,tRNA (guanine-N7-)-methyltransferase activity
720,sll1285,cofG,"7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase activity"
721,slr1822,nth,"base-excision repair, AP site formation"
722,slr1822,nth,DNA N-glycosylase activity
723,slr1746,murI,glutamate racemase activity
724,slr1746,murI,peptidoglycan biosynthetic process
727,slr1542,ispF,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity"
728,sll1462,hypE,peptidyl-S-carbamoyl-L-cysteine dehydration
729,sll1462,hypE,protein maturation
730,slr1549,def,peptide deformylase activity
731,slr1549,def,peptidyl-methionine modification
732,slr1549,def,N-terminal protein amino acid modification
733,slr1549,def,co-translational protein modification
737,sll1277,recF,DNA synthesis involved in DNA repair
738,sll1277,recF,double-strand break repair
745,sll0869,aat,cytoplasm
746,sll0869,aat,leucyltransferase activity
747,sll0864,sll0864,metalloexopeptidase activity
748,sll0864,sll0864,zinc ion binding
749,ssr2723,clpS,protein-folding chaperone binding
751,sll1762,sll1762,outer membrane-bounded periplasmic space
752,slr1882,ribF,riboflavin metabolic process
753,slr1882,ribF,FMN biosynthetic process
754,slr1882,ribF,riboflavin kinase activity
756,slr1453,cysT,plasma membrane
759,sll0616,secA,ABC-type protein transporter activity
760,sll0616,secA,ATP binding
761,sll1392,sll1392,transcription cis-regulatory region binding
762,sll1392,sll1392,DNA-binding transcription factor activity
763,sll1392,sll1392,regulation of DNA-templated transcription
768,sll1192,crcB,fluoride transmembrane transporter activity
769,sll1192,crcB,fluoride transmembrane transport
774,sll0927,metK,S-adenosylmethionine biosynthetic process
775,sll0927,metK,cytosol
776,sll0927,metK,methionine adenosyltransferase activity
777,slr1616,slr1616,C-terminal protein amino acid modification
778,slr1616,slr1616,SOS response
779,slr1616,slr1616,ribosomal S6-glutamic acid ligase activity
780,slr1616,slr1616,cytoplasm
781,slr1070,slr1070,glycosyltransferase activity
782,sll1025,sll1025,oxidoreductase activity
783,sll1025,sll1025,cytoplasm
784,slr1400,slr1400,phosphorelay sensor kinase activity
785,sll0644,sll0644,lipase activity
786,slr0351,slr0351,protein-arginine omega-N symmetric methyltransferase activity
787,slr0015,lpxB,phospholipid binding
788,slr0015,lpxB,lipid A biosynthetic process
794,slr0783,tpiA,glycerol catabolic process
795,slr0783,tpiA,glyceraldehyde-3-phosphate biosynthetic process
796,slr0783,tpiA,glycolytic process
797,slr0783,tpiA,gluconeogenesis
798,slr0783,tpiA,cytosol
799,slr0783,tpiA,triose-phosphate isomerase activity
805,slr0543,trpB,cytoplasm
806,slr0543,trpB,tryptophan biosynthetic process
807,slr0543,trpB,tryptophan synthase activity
813,slr0444,aroA,3-phosphoshikimate 1-carboxyvinyltransferase activity
814,slr0444,aroA,chorismate biosynthetic process
815,slr0927,psbD,photosystem II
816,sll0848,dnaA,plasma membrane
817,sll0848,dnaA,DNA replication
818,sll0848,dnaA,DNA replication initiation
819,sll0848,dnaA,DNA replication origin binding
820,sll0738,modA,outer membrane-bounded periplasmic space
822,sll0744,sll0744,'de novo' pyrimidine nucleobase biosynthetic process
823,sll0744,sll0744,dihydroorotate dehydrogenase activity
824,sll0744,sll0744,cytoplasm
825,slr0765,slr0765,mechanosensitive monoatomic ion channel activity
826,slr0765,slr0765,cellular response to osmotic stress
827,sll0657,mraY,cell wall macromolecule biosynthetic process
828,sll0657,mraY,cell wall organization
829,sll0657,mraY,"phosphotransferase activity, for other substituted phosphate groups"
830,slr0713,tgt,cytosol
831,slr0713,tgt,cytoplasm
832,slr0713,tgt,queuosine biosynthetic process
833,slr0713,tgt,tRNA wobble guanine modification
834,sll0664,sll0664,excinuclease repair complex
835,sll0664,sll0664,DNA damage response
836,slr0707,polA,DNA-directed DNA polymerase activity
837,slr0707,polA,double-strand break repair
838,sll0670,sll0670,"peptidoglycan L,D-transpeptidase activity"
839,sll0670,sll0670,peptidoglycan-protein cross-linking
840,sll0507,corA,cobalt ion transmembrane transporter activity
841,sll0507,corA,magnesium ion binding
842,sll0507,corA,magnesium ion transmembrane transporter activity
843,sll0507,corA,cobalt ion binding
844,slr0700,slr0700,amino acid transport
845,slr0700,slr0700,amino acid transmembrane transporter activity
846,slr0697,slr0697,glutathione metabolic process
847,slr0697,slr0697,5-oxoprolinase (ATP-hydrolyzing) activity
848,sll0778,sll0778,transmembrane transport
849,sll0778,sll0778,ATPase-coupled transmembrane transporter activity
850,sll0778,sll0778,membrane
851,sll0779,sll0779,cell adhesion involved in single-species biofilm formation
852,sll0779,sll0779,negative regulation of bacterial-type flagellum-dependent cell motility
853,sll0779,sll0779,plasma membrane
854,sll0779,sll0779,diguanylate cyclase activity
855,slr0801,slr0801,flavin adenine dinucleotide binding
856,slr0801,slr0801,monooxygenase activity
857,sll0785,sll0785,"7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase activity"
858,sll0786,sll0786,N-acetyltransferase activity
859,sll0789,sll0789,phosphorelay response regulator activity
860,sll0789,sll0789,protein-DNA complex
861,sll0789,sll0789,transcription cis-regulatory region binding
862,sll0789,sll0789,regulation of DNA-templated transcription
863,sll0789,sll0789,cytosol
864,slr0794,slr0794,plasma membrane
865,slr0794,slr0794,xenobiotic transmembrane transporter activity
871,slr0788,slr0788,NAD salvage
872,slr0788,slr0788,nicotinate phosphoribosyltransferase activity
873,slr0788,slr0788,cytosol
874,slr0318,slr0318,organonitrogen compound catabolic process
875,slr0318,slr0318,cytosol
876,slr0318,slr0318,deaminase activity
877,slr0315,slr0315,membrane
878,sll0286,sll0286,N-acetyltransferase activity
879,sll0286,sll0286,cytoplasm
880,slr0306,slr0306,5'-nucleotidase activity
881,slr0306,slr0306,UDP-sugar diphosphatase activity
882,slr0306,slr0306,outer membrane-bounded periplasmic space
883,slr0306,slr0306,nucleotide catabolic process
884,slr0305,slr0305,plasma membrane
885,slr0302,slr0302,diguanylate cyclase activity
886,slr0302,slr0302,plasma membrane
887,slr0302,slr0302,cell adhesion involved in single-species biofilm formation
888,slr0302,slr0302,negative regulation of bacterial-type flagellum-dependent cell motility
890,sll0289,minD,ATP binding
891,sll0289,minD,cytoplasmic side of plasma membrane
892,sll0289,minD,negative regulation of cell division
893,sll0289,minD,cytosol
894,sll0289,minD,ATP hydrolysis activity
895,ssl0546,minE,plasma membrane
896,ssl0546,minE,regulation of division septum assembly
897,ssl0546,minE,division septum site selection
902,slr0118,thiC,cytosol
903,slr0118,thiC,thiamine biosynthetic process
909,slr0114,slr0114,phosphatase activity
910,slr0110,slr0110,ATP hydrolysis activity
911,slr0110,slr0110,ATP binding
912,slr0110,slr0110,cytoplasmic side of plasma membrane
913,slr0110,slr0110,cytosol
914,slr0110,slr0110,negative regulation of cell division
915,sll0094,sll0094,phosphorelay sensor kinase activity
916,sll0098,rlmN,rRNA base methylation
917,sll0098,rlmN,tRNA methylation
