## Fri Mar 17 08:47:43 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_kqyf1xx6 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_kqyf1xx6 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_kqyf1xx6/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope 1142 --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
SGL_RS01930	1148.1651662	1.89e-231	639.0	COG0609@1|root,COG0609@2|Bacteria,1G223@1117|Cyanobacteria,1H6GJ@1142|Synechocystis	1142|Synechocystis	U	FecCD transport family	fecC	-	-	ko:K02015	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.14	-	-	FecCD
SGL_RS01935	1148.1651663	1.93e-243	669.0	COG0609@1|root,COG0609@2|Bacteria,1G0UW@1117|Cyanobacteria,1H6JF@1142|Synechocystis	1142|Synechocystis	U	FecCD transport family	fecD	-	-	ko:K02015	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.14	-	-	FecCD
SGL_RS01940	1148.1651664	6.37e-190	527.0	COG1120@1|root,COG1120@2|Bacteria,1G04C@1117|Cyanobacteria,1H6IB@1142|Synechocystis	1142|Synechocystis	HP	ATPases associated with a variety of cellular activities	fecE	-	3.6.3.34	ko:K02013	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.14	-	-	ABC_tran
SGL_RS01945	1148.1651665	2.4e-229	631.0	COG0614@1|root,COG0614@2|Bacteria,1G6TH@1117|Cyanobacteria,1H6BM@1142|Synechocystis	1142|Synechocystis	P	Periplasmic binding protein	-	-	-	ko:K02016	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.14	-	-	Peripla_BP_2
SGL_RS01950	1148.1651666	0.0	1665.0	COG1629@1|root,COG1629@2|Bacteria,1GHBZ@1117|Cyanobacteria,1H6EG@1142|Synechocystis	1142|Synechocystis	P	TonB dependent receptor	iutA	-	-	ko:K02014	-	-	-	-	ko00000,ko02000	1.B.14	-	-	AMIN,Plug,TonB_dep_Rec
SGL_RS01955	1148.1651667	9.2e-244	668.0	COG2207@1|root,COG2207@2|Bacteria,1GBKQ@1117|Cyanobacteria,1H6C5@1142|Synechocystis	1142|Synechocystis	K	helix_turn_helix, arabinose operon control protein	-	-	-	-	-	-	-	-	-	-	-	-	HTH_18
SGL_RS01975	1148.1651671	0.0	1669.0	COG4774@1|root,COG4774@2|Bacteria,1GPYF@1117|Cyanobacteria,1H6W5@1142|Synechocystis	1142|Synechocystis	P	TonB dependent receptor	-	-	-	ko:K02014	-	-	-	-	ko00000,ko02000	1.B.14	-	-	AMIN,Plug,TonB_dep_Rec
SGL_RS01985	1148.1651673	5.72e-196	542.0	COG0500@1|root,COG2226@2|Bacteria,1G0TQ@1117|Cyanobacteria,1H5N2@1142|Synechocystis	1142|Synechocystis	Q	Methyltransferase type 11	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_11
SGL_RS01990	1148.1651674	0.0	1613.0	COG4774@1|root,COG4774@2|Bacteria,1G2EF@1117|Cyanobacteria,1H61P@1142|Synechocystis	1142|Synechocystis	P	TonB dependent receptor	-	-	-	ko:K02014	-	-	-	-	ko00000,ko02000	1.B.14	-	-	AMIN,Plug,TonB_dep_Rec
SGL_RS01995	1148.1651675	7.85e-86	253.0	COG0848@1|root,COG0848@2|Bacteria,1G71E@1117|Cyanobacteria,1H5TH@1142|Synechocystis	1142|Synechocystis	U	Biopolymer transport protein ExbD/TolR	-	-	-	ko:K03559	-	-	-	-	ko00000,ko02000	1.A.30.2.1	-	-	ExbD
SGL_RS02000	1148.1651676	1.81e-133	380.0	COG0811@1|root,COG0811@2|Bacteria,1G1RE@1117|Cyanobacteria,1H5BK@1142|Synechocystis	1142|Synechocystis	U	MotA/TolQ/ExbB proton channel family	-	GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0008104,GO:0008150,GO:0015031,GO:0015833,GO:0016020,GO:0016021,GO:0017038,GO:0031224,GO:0031226,GO:0033036,GO:0042886,GO:0044425,GO:0044459,GO:0044464,GO:0045184,GO:0051179,GO:0051234,GO:0071702,GO:0071705,GO:0071944	-	ko:K03561	-	-	-	-	ko00000,ko02000	1.A.30.2.1	-	-	MotA_ExbB
SGL_RS02005	1148.1651677	2.72e-266	743.0	COG0810@1|root,COG0810@2|Bacteria,1G5WI@1117|Cyanobacteria,1H6VV@1142|Synechocystis	1142|Synechocystis	M	Gram-negative bacterial TonB protein C-terminal	-	-	-	-	-	-	-	-	-	-	-	-	TonB_C
SGL_RS02015	1148.1651679	0.0	1133.0	COG1132@1|root,COG1132@2|Bacteria,1G1QS@1117|Cyanobacteria,1H6F4@1142|Synechocystis	1142|Synechocystis	V	ABC transporter transmembrane region	-	-	-	-	-	-	-	-	-	-	-	-	ABC_membrane,ABC_tran
SGL_RS02035	1148.1651683	1.47e-224	619.0	COG0614@1|root,COG0614@2|Bacteria,1G4QR@1117|Cyanobacteria,1H65U@1142|Synechocystis	1142|Synechocystis	P	Periplasmic binding protein	-	-	-	ko:K02016	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.14	-	-	Peripla_BP_2
SGL_RS02040	1148.1651684	7.79e-89	261.0	COG5469@1|root,COG5469@2|Bacteria,1G8BR@1117|Cyanobacteria,1H6K3@1142|Synechocystis	1142|Synechocystis	S	Protein of unknown function (DUF1636)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1636
SGL_RS02045	1148.1651685	0.0	1197.0	COG1132@1|root,COG1132@2|Bacteria,1G0Q1@1117|Cyanobacteria,1H6B4@1142|Synechocystis	1142|Synechocystis	V	ABC transporter transmembrane region	-	-	-	-	-	-	-	-	-	-	-	-	ABC_membrane,ABC_tran
SGL_RS02055	1148.1651687	1.31e-79	236.0	COG4634@1|root,COG4634@2|Bacteria,1GHZR@1117|Cyanobacteria,1H6RY@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS02060	1148.1651688	1.4e-48	154.0	COG2442@1|root,COG2442@2|Bacteria,1G8A6@1117|Cyanobacteria,1H6QP@1142|Synechocystis	1142|Synechocystis	S	Protein of unknown function (DUF433)	-	-	-	-	-	-	-	-	-	-	-	-	DUF433
SGL_RS02065	1148.1651689	4.52e-307	835.0	2DB7Y@1|root,2Z7P6@2|Bacteria,1G00I@1117|Cyanobacteria,1H6D5@1142|Synechocystis	1142|Synechocystis	S	Domain of unknown function (DUF4336)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4336
SGL_RS02070	1148.1651690	1.6e-75	225.0	2AR4E@1|root,31GDS@2|Bacteria,1G6MK@1117|Cyanobacteria,1H5PB@1142|Synechocystis	1142|Synechocystis	S	Psb28 protein	psbW	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0009521,GO:0009523,GO:0009579,GO:0016020,GO:0030075,GO:0030096,GO:0032991,GO:0034357,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044422,GO:0044424,GO:0044425,GO:0044436,GO:0044444,GO:0044459,GO:0044464,GO:0071944,GO:0098796,GO:0098797	-	ko:K08903	ko00195,ko01100,map00195,map01100	-	-	-	ko00000,ko00001,ko00194	-	-	iJN678.psb13	Psb28
SGL_RS02075	1148.1651691	0.0	1106.0	COG1199@1|root,COG1199@2|Bacteria,1G1FT@1117|Cyanobacteria,1H56J@1142|Synechocystis	1142|Synechocystis	KL	COG1199 Rad3-related DNA	-	-	3.6.4.12	ko:K03722	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	-
SGL_RS18635	1148.1651692	5.7e-200	554.0	COG3335@1|root,COG3415@1|root,COG3335@2|Bacteria,COG3415@2|Bacteria,1G477@1117|Cyanobacteria,1H6VG@1142|Synechocystis	1117|Cyanobacteria	L	Transposase	-	-	-	ko:K07494	-	-	-	-	ko00000	-	-	-	DDE_3,HTH_Tnp_IS630
SGL_RS02085	1148.1651693	1.21e-149	421.0	2CI0B@1|root,3446X@2|Bacteria,1GF7F@1117|Cyanobacteria,1H62Y@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS02090	1148.1651694	9.44e-284	773.0	COG0409@1|root,COG0409@2|Bacteria,1G0NJ@1117|Cyanobacteria,1H6IT@1142|Synechocystis	1142|Synechocystis	O	Hydrogenase formation hypA family	hypD	-	-	ko:K04654	-	-	-	-	ko00000	-	-	-	HypD
SGL_RS02095	1148.1651695	2.76e-198	550.0	COG1091@1|root,COG1091@2|Bacteria,1G1CP@1117|Cyanobacteria,1H627@1142|Synechocystis	1142|Synechocystis	M	Catalyzes the reduction of dTDP-6-deoxy-L-lyxo-4- hexulose to yield dTDP-L-rhamnose	-	-	1.1.1.133	ko:K00067	ko00521,ko00523,ko01130,map00521,map00523,map01130	M00793	R02777	RC00182	ko00000,ko00001,ko00002,ko01000	-	-	iJN678.rfbD	RmlD_sub_bind
SGL_RS02100	1148.1651696	6.43e-167	465.0	COG0225@1|root,COG0225@2|Bacteria,1G1QF@1117|Cyanobacteria,1H4VX@1142|Synechocystis	1142|Synechocystis	O	Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine	-	-	1.8.4.11	ko:K07304	-	-	-	-	ko00000,ko01000	-	-	-	PMSR
SGL_RS02105	1148.1651697	0.0	1042.0	COG0297@1|root,COG0297@2|Bacteria,1G1YU@1117|Cyanobacteria,1H69D@1142|Synechocystis	1142|Synechocystis	F	Synthesizes alpha-1,4-glucan chains using ADP-glucose	-	GO:0003674,GO:0003824,GO:0016740,GO:0016757	2.4.1.21	ko:K00703	ko00500,ko01100,ko01110,ko02026,map00500,map01100,map01110,map02026	M00565	R02421	RC00005	ko00000,ko00001,ko00002,ko01000,ko01003	-	GT5	-	Glyco_transf_5,Glycos_transf_1
SGL_RS02110	1148.1651698	3.07e-142	401.0	COG1309@1|root,COG1309@2|Bacteria,1G57M@1117|Cyanobacteria,1H6DK@1142|Synechocystis	1142|Synechocystis	K	Bacterial regulatory proteins, tetR family	-	-	-	-	-	-	-	-	-	-	-	-	TetR_N
SGL_RS02120	1148.1651700	3.19e-238	655.0	COG1131@1|root,COG1131@2|Bacteria,1G3BQ@1117|Cyanobacteria,1H4K5@1142|Synechocystis	1142|Synechocystis	V	ATPases associated with a variety of cellular activities	-	-	-	ko:K01990	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC_tran
SGL_RS02125	1148.1651701	0.0	1152.0	COG1668@1|root,COG1668@2|Bacteria,1G0XD@1117|Cyanobacteria,1H5JE@1142|Synechocystis	1142|Synechocystis	CP	transmembrane transport	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS02130	1148.1651702	1.51e-174	487.0	COG0500@1|root,COG2226@2|Bacteria,1GASX@1117|Cyanobacteria,1H66D@1142|Synechocystis	1142|Synechocystis	Q	AdoMet dependent proline di-methyltransferase	-	-	-	ko:K15256	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	Methyltransf_25
SGL_RS02135	1148.1651703	3.45e-131	371.0	COG2318@1|root,COG2318@2|Bacteria,1G5EJ@1117|Cyanobacteria,1H6PR@1142|Synechocystis	1142|Synechocystis	S	DinB family	-	-	-	-	-	-	-	-	-	-	-	-	DinB
SGL_RS02145	1148.1651705	0.0	1170.0	COG1409@1|root,COG1409@2|Bacteria,1G020@1117|Cyanobacteria,1H6IZ@1142|Synechocystis	1142|Synechocystis	S	Calcineurin-like phosphoesterase	-	-	-	-	-	-	-	-	-	-	-	-	Metallophos
SGL_RS02150	1148.1651706	1.45e-182	507.0	COG1922@1|root,COG1922@2|Bacteria,1G0T6@1117|Cyanobacteria,1H50K@1142|Synechocystis	1142|Synechocystis	M	Glycosyl transferase WecB/TagA/CpsF family	-	-	2.4.1.187	ko:K05946	ko05111,map05111	-	-	-	ko00000,ko00001,ko01000,ko01003	-	GT26	-	Glyco_tran_WecB
SGL_RS02155	1148.1651707	1.35e-162	454.0	COG1214@1|root,COG1214@2|Bacteria,1G57V@1117|Cyanobacteria,1H5PR@1142|Synechocystis	1142|Synechocystis	O	Glycoprotease family	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_M22
SGL_RS02160	1148.1651708	3.18e-177	492.0	COG2755@1|root,COG2755@2|Bacteria,1G0A7@1117|Cyanobacteria,1H63G@1142|Synechocystis	1142|Synechocystis	E	GDSL-like Lipase/Acylhydrolase family	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS02175	1148.1651711	0.0	2057.0	COG1615@1|root,COG1615@2|Bacteria,1G0RQ@1117|Cyanobacteria,1H4VY@1142|Synechocystis	1142|Synechocystis	S	Uncharacterised protein family (UPF0182)	-	-	-	ko:K09118	-	-	-	-	ko00000	-	-	-	UPF0182
SGL_RS02180	1148.1651712	1.75e-52	165.0	2E3UB@1|root,32YRP@2|Bacteria,1G8Z4@1117|Cyanobacteria,1H61E@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS02185	1148.1651713	2.39e-60	186.0	2AGH6@1|root,316PR@2|Bacteria,1GAIE@1117|Cyanobacteria,1H6PA@1142|Synechocystis	1142|Synechocystis	S	Peptidase propeptide and YPEB domain	-	-	-	-	-	-	-	-	-	-	-	-	PepSY_2
SGL_RS02190	1148.1651714	2.74e-205	566.0	COG1989@1|root,COG1989@2|Bacteria,1FZZA@1117|Cyanobacteria,1H5CM@1142|Synechocystis	1142|Synechocystis	NOU	Cleaves type-4 fimbrial leader sequence and methylates the N-terminal (generally Phe) residue	hofD	-	3.4.23.43	ko:K02654	-	M00331	-	-	ko00000,ko00002,ko01000,ko01002,ko02035,ko02044	3.A.15.2	-	-	DiS_P_DiS,Peptidase_A24
SGL_RS02195	1148.1651715	1.01e-127	363.0	COG0563@1|root,COG0563@2|Bacteria,1G52Z@1117|Cyanobacteria,1H69H@1142|Synechocystis	1142|Synechocystis	F	Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism	-	-	2.7.4.3	ko:K00939	ko00230,ko00730,ko01100,ko01110,ko01130,map00230,map00730,map01100,map01110,map01130	M00049	R00127,R01547,R11319	RC00002	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	ADK
SGL_RS02200	1148.1651716	2.93e-194	539.0	COG0289@1|root,COG0289@2|Bacteria,1G0YC@1117|Cyanobacteria,1H4IH@1142|Synechocystis	1142|Synechocystis	E	Catalyzes the conversion of 4-hydroxy- tetrahydrodipicolinate (HTPA) to tetrahydrodipicolinate	dapB	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0008839,GO:0009058,GO:0009987,GO:0016053,GO:0016491,GO:0016627,GO:0016628,GO:0019752,GO:0019877,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046451,GO:0055114,GO:0071704,GO:1901564,GO:1901566,GO:1901576	1.17.1.8	ko:K00215	ko00261,ko00300,ko01100,ko01110,ko01120,ko01130,ko01230,map00261,map00300,map01100,map01110,map01120,map01130,map01230	M00016,M00525,M00526,M00527	R04198,R04199	RC00478	ko00000,ko00001,ko00002,ko01000	-	-	iJN678.dapB	DapB_C,DapB_N
SGL_RS02205	1148.1651717	6.17e-80	237.0	COG0526@1|root,COG0526@2|Bacteria,1G844@1117|Cyanobacteria,1H5UF@1142|Synechocystis	1142|Synechocystis	O	Thioredoxin	-	-	-	ko:K03671	ko04621,ko05418,map04621,map05418	-	-	-	ko00000,ko00001,ko03110	-	-	-	Thioredoxin
SGL_RS02220	1148.1651718	0.0	1555.0	COG0046@1|root,COG0046@2|Bacteria,1G228@1117|Cyanobacteria,1H577@1142|Synechocystis	1142|Synechocystis	F	Part of the phosphoribosylformylglycinamidine synthase complex involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate. The FGAM synthase complex is composed of three subunits. PurQ produces an ammonia molecule by converting glutamine to glutamate. PurL transfers the ammonia molecule to FGAR to form FGAM in an ATP-dependent manner. PurS interacts with PurQ and PurL and is thought to assist in the transfer of the ammonia molecule from PurQ to PurL	-	-	6.3.5.3	ko:K01952	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130	M00048	R04463	RC00010,RC01160	ko00000,ko00001,ko00002,ko01000	-	-	-	AIRS,AIRS_C
SGL_RS02225	1148.1651719	9.06e-181	503.0	28IAF@1|root,2Z8D1@2|Bacteria,1G2J5@1117|Cyanobacteria,1H5P2@1142|Synechocystis	1142|Synechocystis	S	Alternative locus ID	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS02230	1148.1651720	1.09e-134	381.0	COG0494@1|root,COG0494@2|Bacteria,1G22W@1117|Cyanobacteria,1H5HV@1142|Synechocystis	1142|Synechocystis	L	NUDIX domain	-	-	3.6.1.13	ko:K01515	ko00230,map00230	-	R01054	RC00002	ko00000,ko00001,ko01000	-	-	-	NUDIX
SGL_RS02235	1148.1651721	1.1e-308	849.0	COG0845@1|root,COG0845@2|Bacteria,1G0KI@1117|Cyanobacteria,1H6H3@1142|Synechocystis	1142|Synechocystis	M	Barrel-sandwich domain of CusB or HlyD membrane-fusion	-	-	-	-	-	-	-	-	-	-	-	-	Biotin_lipoyl_2,HlyD_3
SGL_RS02240	1148.1651722	4.08e-132	375.0	COG0194@1|root,COG0194@2|Bacteria,1G515@1117|Cyanobacteria,1H5GE@1142|Synechocystis	1142|Synechocystis	F	Essential for recycling GMP and indirectly, cGMP	gmk	GO:0003674,GO:0003824,GO:0004385,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006163,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009126,GO:0009132,GO:0009135,GO:0009150,GO:0009161,GO:0009165,GO:0009167,GO:0009179,GO:0009185,GO:0009259,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0018130,GO:0019205,GO:0019438,GO:0019637,GO:0019693,GO:0034641,GO:0034654,GO:0042278,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046037,GO:0046128,GO:0046483,GO:0046710,GO:0046940,GO:0050145,GO:0055086,GO:0071704,GO:0072521,GO:0090407,GO:1901068,GO:1901135,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901576,GO:1901657	2.7.4.8	ko:K00942	ko00230,ko01100,map00230,map01100	M00050	R00332,R02090	RC00002	ko00000,ko00001,ko00002,ko01000	-	-	-	Guanylate_kin
SGL_RS02245	1147.D082_07850	9.38e-317	863.0	COG0406@1|root,COG0406@2|Bacteria,1G1TS@1117|Cyanobacteria,1H59H@1142|Synechocystis	1142|Synechocystis	G	Histidine phosphatase superfamily (branch 1)	gpmB	-	3.1.3.3	ko:K22305	ko00260,ko00680,ko01100,ko01120,ko01130,map00260,map00680,map01100,map01120,map01130	-	R00582	RC00017	ko00000,ko00001,ko01000	-	-	-	His_Phos_1
SGL_RS02250	1148.1651724	7.58e-306	833.0	COG1819@1|root,COG1819@2|Bacteria,1G1XQ@1117|Cyanobacteria,1H4SS@1142|Synechocystis	1142|Synechocystis	CG	UDP-glucoronosyl and UDP-glucosyl transferase	crtX	-	-	-	-	-	-	-	-	-	-	-	UDPGT
