old_locus_tag,gene_name,accession,start,end,strand,gene_product,uniprot,operon
sll1060,sll1060,NC_000911.1,70944,74042,-,UPF0182 family protein,,Op45
ssl2069,ssl2069,NC_000911.1,73978,74229,-,hypothetical protein,,Op45
ssr1853,ssr1853,NC_000911.1,74498,74785,+,PepSY domain-containing protein,A0A6P1VGH8_9SYNC,Op46
slr1120,slr1120,NC_000911.1,74995,75804,+,A24 family peptidase,,Op47
sll1059,sll1059,NC_000911.1,75955,76500,-,nucleoside monophosphate kinase,,Op48
sll1058,dapB,NC_000911.1,76580,77407,-,4-hydroxy-tetrahydrodipicolinate reductase,,Op49
sll1057,sll1057,NC_000911.1,77494,77826,-,thioredoxin family protein,,Op50
,,NC_000911.1,77980,78246,-,DUF2442 domain-containing protein,,Op6
,,NC_000911.1,78206,78445,-,DUF4160 domain-containing protein,,Op6
sll1056,purL,NC_000911.1,78467,80800,-,phosphoribosylformylglycinamidine synthase subunit PurL,,Op51
slr1122,slr1122,NC_000911.1,80938,81690,+,hypothetical protein,,Op52
sll1054,sll1054,NC_000911.1,81696,82259,-,NUDIX hydrolase,A0A6P1VAP5_9SYNC,Op53
sll1053,sll1053,NC_000911.1,82291,83853,-,efflux RND transporter periplasmic adaptor subunit,,Op53
slr1123,gmk,NC_000911.1,84122,84697,+,guanylate kinase,,Op54
slr1124,slr1124,NC_000911.1,84776,86107,+,histidine phosphatase family protein,,Op55
slr1125,slr1125,NC_000911.1,86159,87418,+,glycosyltransferase,,Op56
sll1052,sll1052,NC_000911.1,87536,87910,-,sulfite exporter TauE/SafE family protein,A0A6P1VGI7_9SYNC,Op57
sll1051,sll1051,NC_000911.1,88017,88661,-,HEAT repeat domain-containing protein,,Op58
sll1049,sll1049,NC_000911.1,88818,90506,-,transglutaminase family protein,,Op59
slr1127,slr1127,NC_000911.1,90737,91411,+,hypothetical protein,,Op60
slr1128,slr1128,NC_000911.1,91517,92482,+,SPFH/Band 7/PHB domain protein,,Op61
slr1129,slr1129,NC_000911.1,93128,95152,+,Rne/Rng family ribonuclease,,Op62
slr1130,slr1130,NC_000911.1,95236,95808,+,ribonuclease HII,,Op63
sll1045,mutT,NC_000911.1,95818,96228,-,8-oxo-dGTP diphosphatase MutT,,Op64
sll1043,sll1043,NC_000911.1,96325,98481,-,polyribonucleotide nucleotidyltransferase,,Op65
sll0716,lepB,NC_000911.1,98609,99199,-,signal peptidase I,,Op66
slr0721,slr0721,NC_000911.1,99402,100793,+,NAD-dependent malic enzyme,,Op67
sll0712,sll0712,NC_000911.1,100794,101771,-,cysteine synthase A,,Op68
sll0711,ispE,NC_000911.1,101884,102831,-,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,,Op69
sll0710,sll0710,NC_000911.1,102930,105110,-,hypothetical protein,,Op70
sll0709,sll0709,NC_000911.1,105151,106464,-,McrB family protein,,Op70
,,NC_000911.1,106905,107208,+,transposase,,Op71
sll0708,rsmA,NC_000911.1,107471,108325,-,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA,,Op72
slr0722,slr0722,NC_000911.1,108290,109201,+,16S rRNA (uracil(1498)-N(3))-methyltransferase,,Op73
slr0723,slr0723,NC_000911.1,109222,110313,+,hypothetical protein,,Op73
slr0724,slr0724,NC_000911.1,110392,110724,+,type II toxin-antitoxin system PrlF family antitoxin,,Op74
slr0725,slr0725,NC_000911.1,110808,111224,+,type II toxin-antitoxin system YhaV family toxin,,Op75
slr0727,slr0727,NC_000911.1,111588,112559,+,hypothetical protein,,Op76
slr0728,slr0728,NC_000911.1,112860,114188,+,O-antigen ligase,,Op77
slr0729,slr0729,NC_000911.1,114319,114624,+,DUF3181 family protein,,Op78
slr0730,slr0730,NC_000911.1,114874,115272,+,DUF3119 family protein,,Op79
slr0731,slr0731,NC_000911.1,115269,116477,+,DUF3086 domain-containing protein,,Op79
sll0704,sll0704,NC_000911.1,116518,117693,-,cysteine desulfurase family protein,,Op80
slr0732,slr0732,NC_000911.1,117869,118336,+,phosphate-starvation-inducible PsiE family protein,,Op81
sll0703,sll0703,NC_000911.1,118333,119532,-,NAD(P)/FAD-dependent oxidoreductase,,Op82
sll0702,sll0702,NC_000911.1,119570,119962,-,hypothetical protein,A0A6P1VFU6_9SYNC,Op82
slr1006,slr1006,NC_000911.1,120298,120537,-,hypothetical protein,,Op83
slr0733,slr0733,NC_000911.1,120719,121660,+,tyrosine-type recombinase/integrase,,Op84
ssl1326,ssl1326,NC_000911.1,121706,121963,-,ribbon-helix-helix protein%2C CopG family,,Op85
slr0734,slr0734,NC_000911.1,122287,123405,+,FAD-dependent oxidoreductase,,Op86
,,NC_000911.1,123501,124079,-,IS630 family transposase,,Op6
,,NC_000911.1,123989,124348,-,IS630 transposase-related protein,,Op6
sll0698,sll0698,NC_000911.1,124452,126443,-,ATP-binding protein,,Op87
slr0737,slr0737,NC_000911.1,126639,127064,+,photosystem I reaction center subunit II,A0A6P1VD06_9SYNC,Op88
slr0738,trpE,NC_000911.1,127186,128712,+,anthranilate synthase component I,,Op89
slr0739,slr0739,NC_000911.1,128802,129710,+,polyprenyl synthetase family protein,,Op90
slr0740,slr0740,NC_000911.1,129791,130186,+,hypothetical protein,,Op91
sll0696,sll0696,NC_000911.1,130167,131039,-,CPBP family intramembrane metalloprotease,,Op92
slr0741,phoU,NC_000911.1,131116,131790,+,phosphate signaling complex protein PhoU,A0A6P1VCP7_9SYNC,Op93
slr0742,rimP,NC_000911.1,131952,132407,+,ribosome maturation factor RimP,,Op94
slr0743,nusA,NC_000911.1,132483,133859,+,transcription termination factor NusA,,Op95
slr0743a,slr0743a,NC_000911.1,133923,134177,+,YlxR family protein,A0A6P1VDT5_9SYNC,Op96
slr0744,infB,NC_000911.1,134437,137442,+,translation initiation factor IF-2,,Op97
slr0236,slr0236,NC_000911.1,137444,138112,+,glutathione S-transferase family protein,,Op97
,,NC_000911.1,138176,138301,-,hypothetical protein,,Op6
slr0237,glgX,NC_000911.1,138295,140535,+,glycogen debranching protein GlgX,,Op98
slr0238,slr0238,NC_000911.1,140585,141007,+,hypothetical protein,A0A6P1VFN8_9SYNC,Op99
,,NC_000911.1,141123,141428,-,transposase,,Op71
slr0239,cobM,NC_000911.1,141648,142442,+,precorrin-4 C(11)-methyltransferase,,Op100
slr0240,slr0240,NC_000911.1,142559,142981,+,BlaI/MecI/CopY family transcriptional regulator,,Op101
slr0241,slr0241,NC_000911.1,142981,143826,+,M56 family metallopeptidase,,Op101
slr0242,bcp,NC_000911.1,144061,144543,+,thioredoxin-dependent thiol peroxidase,,Op102
slr0243,slr0243,NC_000911.1,144554,145081,+,hypothetical protein,,Op102
sll0230,sll0230,NC_000911.1,145164,145529,-,MTH1187 family thiamine-binding protein,,Op103
slr0244,slr0244,NC_000911.1,145761,146615,+,universal stress protein,,Op104
,psbM,NC_000911.1,146724,146831,-,photosystem II reaction center protein PsbM,A0A6P1VDU5_9SYNC,Op6
slr0245,slr0245,NC_000911.1,146980,147894,+,histone deacetylase,,Op105
sll0228,speB,NC_000911.1,148022,148942,-,agmatinase,,Op106
sll0227,sll0227,NC_000911.1,148943,149683,-,peptidylprolyl isomerase,,Op106
sll0226,sll0226,NC_000911.1,149889,150455,-,photosystem I assembly protein Ycf4,A0A6P1VGF0_9SYNC,Op107
sll0225,sll0225,NC_000911.1,150594,152072,-,GH3 auxin-responsive promoter family protein,,Op108
sll0224,sll0224,NC_000911.1,152154,153050,-,amino acid ABC transporter substrate-binding protein,,Op108
slr0249,slr0249,NC_000911.1,153622,153996,+,DUF1818 family protein,,Op109
slr0250,slr0250,NC_000911.1,154143,154679,+,LptA/OstA family protein,,Op110
slr0251,lptB,NC_000911.1,154703,155461,+,LPS export ABC transporter ATP-binding protein,,Op111
slr0252,cobK,NC_000911.1,155473,156258,+,precorrin-6A reductase,,Op111
ssr0390,psaK,NC_000911.1,156391,156651,+,photosystem I reaction center subunit PsaK,A0A6P1VFL7_9SYNC,Op112
ssl0410,ssl0410,NC_000911.1,156741,157013,-,hypothetical protein,,Op113
sll0223,sll0223,NC_000911.1,157050,158615,-,NAD(P)H-quinone oxidoreductase subunit N,,Op113
sll0222,sll0222,NC_000911.1,158757,159737,-,metallophosphoesterase,,Op114
,,NC_000911.1,159812,159961,-,hypothetical protein,,Op6
,petN,NC_000911.1,160004,160093,-,cytochrome b6-f complex subunit PetN,A0A6P1VGE0_9SYNC,Op6
slr0254,slr0254,NC_000911.1,160258,161058,+,RDD family protein,,Op115
sll0221,sll0221,NC_000911.1,161088,161642,-,peroxiredoxin,,Op116
sll0220,glmS,NC_000911.1,161768,163663,-,glutamine--fructose-6-phosphate transaminase (isomerizing),,Op117
sll0219,sll0219,NC_000911.1,164037,165821,-,diflavin flavoprotein,,Op118
sll0218,sll0218,NC_000911.1,165871,166389,-,phosphate-starvation-inducible PsiE family protein,,Op119
sll0217,sll0217,NC_000911.1,166416,168152,-,diflavin flavoprotein,,Op119
slr0257,slr0257,NC_000911.1,168533,169921,+,S41 family peptidase,,Op120
sll0216,sll0216,NC_000911.1,169934,170566,-,L-threonylcarbamoyladenylate synthase,,Op121
slr1411,larC,NC_000911.1,170572,171840,+,nickel pincer cofactor biosynthesis protein LarC,,Op122
sll1327,sll1327,NC_000911.1,171939,172883,-,F0F1 ATP synthase subunit gamma,A0A6P1VCQ3_9SYNC,Op123
sll1326,atpA,NC_000911.1,173014,174525,-,F0F1 ATP synthase subunit alpha,,Op123
sll1325,atpH,NC_000911.1,174586,175143,-,ATP synthase F1 subunit delta,,Op123
sll1324,sll1324,NC_000911.1,175143,175682,-,F0F1 ATP synthase subunit B,,Op123
sll1323,sll1323,NC_000911.1,175708,176139,-,F0F1 ATP synthase subunit B',A0A6P1VFV7_9SYNC,Op123
ssl2615,atpE,NC_000911.1,176256,176501,-,ATP synthase F0 subunit C,A0A6P1VE18_9SYNC,Op124
sll1322,atpB,NC_000911.1,176693,177523,-,F0F1 ATP synthase subunit A,,Op125
sll1321,sll1321,NC_000911.1,177592,178098,-,ATP synthase subunit I,,Op126
slr1413,slr1413,NC_000911.1,178309,179682,+,50S ribosome-binding GTPase,,Op127
slr1414,slr1414,NC_000911.1,179734,181047,+,HAMP domain-containing sensor histidine kinase,,Op128
slr1415,slr1415,NC_000911.1,181097,182221,+,DUF4350 domain-containing protein,,Op128
slr1416,slr1416,NC_000911.1,182354,183298,+,MoxR family ATPase,,Op129
slr1417,slr1417,NC_000911.1,183493,183849,+,iron-sulfur cluster assembly accessory protein,A0A6P1VGN4_9SYNC,Op130
sll1319,sll1319,NC_000911.1,183935,184924,-,DMT family transporter,,Op131
sll1318,sll1318,NC_000911.1,184968,185636,-,HAS-barrel domain-containing protein,,Op132
sll1041,sll1041,NC_000911.1,185772,186554,-,ABC transporter ATP-binding protein,,Op133
sll1040,sll1040,NC_000911.1,186601,188892,-,mechanosensitive ion channel family protein,,Op134
slr1093,folK,NC_000911.1,189128,189715,+,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,A0A6P1VAV2_9SYNC,Op135
slr1094,slr1094,NC_000911.1,190033,190818,+,DUF429 domain-containing protein,,Op136
sll1039,sll1039,NC_000911.1,190815,191819,-,alpha-E domain-containing protein,,Op137
,,NC_000911.1,191857,192045,+,hypothetical protein,,Op6
slr1095,slr1095,NC_000911.1,192136,192783,+,Uma2 family endonuclease,,Op138
slr1096,lpdA,NC_000911.1,192882,194306,+,dihydrolipoyl dehydrogenase,,Op139
slr1097,slr1097,NC_000911.1,194310,194801,+,CRR6 family NdhI maturation factor,A0A6P1VCS2_9SYNC,Op139
slr1098,slr1098,NC_000911.1,194877,195617,+,HEAT repeat domain-containing protein,,Op140
slr1099,slr1099,NC_000911.1,195685,196305,+,UbiX family flavin prenyltransferase,,Op141
,,NC_000911.1,196424,196564,-,hypothetical protein,,Op6
slr1100,slr1100,NC_000911.1,196611,196991,+,hypothetical protein,A0A6P1VD82_9SYNC,Op142
slr1101,slr1101,NC_000911.1,197072,197557,+,universal stress protein,,Op143
slr1102,slr1102,NC_000911.1,197633,200185,+,EAL domain-containing protein,,Op144
slr1103,slr1103,NC_000911.1,200405,202525,+,EAL domain-containing protein,,Op145
slr1104,slr1104,NC_000911.1,202554,204395,+,EAL domain-containing protein,,Op145
slr1105,typA,NC_000911.1,204604,206397,+,translational GTPase TypA,,Op146
,,NC_000911.1,206650,206853,-,hypothetical protein,,Op6
sll1037,sll1037,NC_000911.1,206863,208392,-,TAXI family TRAP transporter solute-binding subunit,,Op147
sll1036,sll1036,NC_000911.1,208549,209427,-,MBL fold metallo-hydrolase,,Op148
ssl2009,ssl2009,NC_000911.1,209527,209826,-,thylakoid membrane protein,A0A6P1VCT5_9SYNC,Op149
sll1035,upp,NC_000911.1,209896,210546,-,uracil phosphoribosyltransferase,,Op150
slr1106,slr1106,NC_000911.1,210781,211629,+,SPFH domain-containing protein,A0A6P1VFF5_9SYNC,Op151
slr1107,slr1107,NC_000911.1,211734,213068,+,hypothetical protein,,Op152
sll1033,sll1033,NC_000911.1,213031,215037,-,serine/threonine phosphatase,,Op153
sll1032,sll1032,NC_000911.1,215504,216229,-,hypothetical protein,,Op154
sll1031,sll1031,NC_000911.1,216264,218273,-,ribulose bisphosphate carboxylase small subunit,,Op154
sll1030,sll1030,NC_000911.1,218407,218709,-,EutN/CcmL family microcompartment protein,A0A6P1VAX0_9SYNC,Op155
sll1028,sll1028,NC_000911.1,218742,219077,-,BMC domain-containing protein,A0A6P1VE30_9SYNC,Op155
sll1029,sll1029,NC_000911.1,219206,219517,-,BMC domain-containing protein,A0A6P1VBW4_9SYNC,Op156
sll1027,gltD,NC_000911.1,219979,221463,-,glutamate synthase small subunit,,Op157
slr1109,slr1109,NC_000911.1,221742,223067,+,ankyrin repeat domain-containing protein,,Op158
slr1110,slr1110,NC_000911.1,223114,223596,+,Tab2/Atab2 family RNA-binding protein,,Op158
slr1772,slr1772,NC_000911.1,223742,224806,+,linear amide C-N hydrolase,,Op159
sll1686,sll1686,NC_000911.1,224897,226363,-,TM0106 family RecB-like putative nuclease,,Op160
,,NC_000911.1,226928,227098,+,hypothetical protein,,Op6
slr1773,slr1773,NC_000911.1,227123,227899,+,DUF2092 domain-containing protein,,Op161
slr1774,slr1774,NC_000911.1,227943,228812,+,DUF6515 family protein,,Op162
slr1776,slr1776,NC_000911.1,228866,230566,+,SulP family inorganic anion transporter,,Op163
sll1685,sll1685,NC_000911.1,230658,231839,-,proton extrusion protein PcxA,,Op164
slr1777,bchD,NC_000911.1,232008,234038,+,magnesium chelatase ATPase subunit D,,Op165
,,NC_000911.1,234120,234308,+,hypothetical protein,,Op6
slr1778,slr1778,NC_000911.1,234305,234838,+,hypothetical protein,,Op166
sll1683,sll1683,NC_000911.1,234905,236356,-,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,,Op167
sll1682,ald,NC_000911.1,236356,237438,-,alanine dehydrogenase,,Op167
slr1779,slr1779,NC_000911.1,237600,238325,+,pyridoxine 5'-phosphate synthase,,Op168
slr1780,slr1780,NC_000911.1,238344,238745,+,DUF2488 family protein,,Op168
sll1681,sll1681,NC_000911.1,238804,240198,-,transglutaminase domain-containing protein,,Op169
sll1680,msrB,NC_000911.1,240299,240829,-,peptide-methionine (R)-S-oxide reductase MsrB,,Op170
sll1679,sll1679,NC_000911.1,240863,242047,-,HhoA/HhoB/HtrA family serine endopeptidase,A0A6P1VDB2_9SYNC,Op170
slr1783,slr1783,NC_000911.1,242399,243094,+,response regulator transcription factor,A0A6P1VG08_9SYNC,Op171
slr1784,slr1784,NC_000911.1,243158,244144,+,Gfo/Idh/MocA family oxidoreductase,,Op172
sll1678,sll1678,NC_000911.1,244160,244708,-,spore maturation protein,,Op173
sll1677,sll1677,NC_000911.1,244783,245394,-,nucleoside recognition domain-containing protein,,Op174
sll1676,malQ,NC_000911.1,245502,247019,-,4-alpha-glucanotransferase,,Op175
sll1675,sll1675,NC_000911.1,247117,247569,-,VOC family protein,,Op176
slr1787,thiL,NC_000911.1,247670,248713,+,thiamine-phosphate kinase,,Op177
slr1788,slr1788,NC_000911.1,249062,250117,+,hypothetical protein,,Op178
slr1789,slr1789,NC_000911.1,250160,251641,+,hypothetical protein,,Op179
sll1673,sll1673,NC_000911.1,251758,253116,-,diguanylate cyclase,,Op180
sll1672,sll1672,NC_000911.1,253125,255629,-,MASE1 domain-containing protein,,Op180
sll1671,sll1671,NC_000911.1,255823,256359,-,GNAT family N-acetyltransferase,,Op181
slr1790,hemJ,NC_000911.1,256647,257279,+,protoporphyrinogen oxidase HemJ,,Op182
slr1791,cysH,NC_000911.1,257426,258175,+,phosphoadenosine phosphosulfate reductase,,Op183
sll1670,hrcA,NC_000911.1,258227,259363,-,heat-inducible transcriptional repressor HrcA,,Op184
sll1669,sll1669,NC_000911.1,259702,260271,-,shikimate kinase,,Op185
slr1793,slr1793,NC_000911.1,260463,261638,+,transaldolase,,Op186
,,NC_000911.1,261659,261802,-,hypothetical protein,,Op6
ssr2998,ssr2998,NC_000911.1,261863,262060,+,DUF2862 domain-containing protein,A0A068MZK2_SYNY4,Op187
slr1794,slr1794,NC_000911.1,262177,263265,+,ArsA family ATPase,,Op188
slr1795,msrA,NC_000911.1,263321,263965,+,peptide-methionine (S)-S-oxide reductase MsrA,,Op189
ssr3000,ssr3000,NC_000911.1,264190,264477,+,DUF2288 domain-containing protein,A0A6P1VDD3_9SYNC,Op190
sll1667,sll1667,NC_000911.1,264516,265295,-,tetratricopeptide repeat protein,,Op191
sll1666,sll1666,NC_000911.1,265414,265938,-,J domain-containing protein,,Op192
slr1796,slr1796,NC_000911.1,265995,266600,+,thylakoid membrane photosystem I accumulation factor,,Op193
sll1665,sll1665,NC_000911.1,266702,268471,-,hypothetical protein,,Op194
sll1664,sll1664,NC_000911.1,268789,269727,-,glycosyltransferase,,Op195
sll1663,sll1663,NC_000911.1,269773,270435,-,HEAT repeat domain-containing protein,,Op196
sll1662,pheA,NC_000911.1,270476,271369,-,prephenate dehydratase,,Op196
slr1798,slr1798,NC_000911.1,271684,273357,+,MASE1 domain-containing protein,,Op197
,,NC_000911.1,273522,273761,-,hypothetical protein,,Op6
sll1660,sll1660,NC_000911.1,273802,274386,-,HD domain-containing protein,,Op198
sll1659,cofH,NC_000911.1,274502,275680,-,7%2C8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit CofH,,Op199
sll1658,sll1658,NC_000911.1,275807,276193,-,VOC family protein,,Op200
slr1799,slr1799,NC_000911.1,276429,278342,+,hypothetical protein,,Op201
slr1800,slr1800,NC_000911.1,278494,279561,+,hypothetical protein,,Op202
sll1656,sll1656,NC_000911.1,279512,280087,-,DUF3611 family protein,A0A6P1VD45_9SYNC,Op203
sll1655,sll1655,NC_000911.1,280127,280951,-,biotin--[acetyl-CoA-carboxylase] ligase,,Op203
sll1654,sll1654,NC_000911.1,280970,281443,-,universal stress protein,,Op203
sll1653,ubiE,NC_000911.1,281507,282223,-,bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1%2C4-benzoquinol methylase UbiE,,Op204
,,NC_000911.1,282290,282541,-,CopG family antitoxin,,Op6
,,NC_000911.1,282510,282821,-,BrnT family toxin,,Op6
slr1289,slr1289,NC_000911.1,283060,284487,+,NADP-dependent isocitrate dehydrogenase,,Op205
slr1290,slr1290,NC_000911.1,284508,285080,+,Uma2 family endonuclease,,Op205
sll1201,sll1201,NC_000911.1,285144,285938,-,Rpn family recombination-promoting nuclease/putative transposase,,Op206
slr1291,slr1291,NC_000911.1,286164,287843,+,NAD(P)H-quinone oxidoreductase subunit 4,,Op207
sll1200,sll1200,NC_000911.1,287929,289104,-,MFS transporter,,Op208
slr1293,crtD,NC_000911.1,289322,290845,+,C-3'%2C4' desaturase CrtD,,Op209
ssr2142,ssr2142,NC_000911.1,290902,291174,+,YggT family protein,A0A6P1VGX6_9SYNC,Op210
slr1295,slr1295,NC_000911.1,291626,292708,+,Fe(3+) ABC transporter substrate-binding protein,A0A6P1VFM9_9SYNC,Op211
sll1198,trmD,NC_000911.1,292790,293485,-,tRNA (guanosine(37)-N1)-methyltransferase TrmD,,Op212
,,NC_000911.1,293496,293669,-,hypothetical protein,,Op6
sll1196,sll1196,NC_000911.1,293878,294963,-,ATP-dependent 6-phosphofructokinase,,Op213
slr1298,slr1298,NC_000911.1,295076,297343,+,FUSC family protein,,Op214
sll1194,psbU,NC_000911.1,297493,297888,-,photosystem II complex extrinsic protein PsbU,,Op215
sll1193,sll1193,NC_000911.1,298083,298580,-,HNH endonuclease,A0A6P1VE99_9SYNC,Op216
,,NC_000911.1,298826,298957,-,hypothetical protein,,Op6
slr1299,slr1299,NC_000911.1,299522,300883,+,UDP-glucose/GDP-mannose dehydrogenase family protein,,Op217
slr1300,slr1300,NC_000911.1,301110,302354,+,FAD-dependent hydroxylase,,Op218
sll1192,crcB,NC_000911.1,302367,302789,-,fluoride efflux transporter CrcB,,Op219
sll1191,sll1191,NC_000911.1,302786,303190,-,LapA family protein,,Op219
ssr2153,ssr2153,NC_000911.1,303424,303621,+,hypothetical protein,A0A6P1VFN7_9SYNC,Op220
slr1301,hmpF,NC_000911.1,303939,305546,+,pilus motility taxis protein HmpF,,Op221
slr1302,slr1302,NC_000911.1,305595,306824,+,CO2 hydration protein,,Op222
slr1303,slr1303,NC_000911.1,306844,308076,+,SUMF1/EgtB/PvdO family nonheme iron enzyme,,Op222
sll1189,sll1189,NC_000911.1,308114,309412,-,FAD-binding oxidoreductase,,Op223
slr1305,slr1305,NC_000911.1,309649,312171,+,EAL domain-containing protein,,Op224
slr1306,slr1306,NC_000911.1,312294,313715,+,DUF697 domain-containing protein,,Op225
sll1188,sll1188,NC_000911.1,313705,314199,-,cupin domain-containing protein,A0A6P1VEB1_9SYNC,Op226
sll1187,lgt,NC_000911.1,314255,315106,-,prolipoprotein diacylglyceryl transferase,,Op227
sll1186,sll1186,NC_000911.1,315134,315784,-,Uma2 family endonuclease,,Op227
sll1185,hemF,NC_000911.1,315882,316904,-,oxygen-dependent coproporphyrinogen oxidase,,Op228
sll1184,sll1184,NC_000911.1,317127,317849,-,heme oxygenase (biliverdin-producing),,Op229
